"Year","Baseline_Annual_Emissions","Baseline_Annual_GWP"
2020,24.25135345,101.8152969
2021,24.57626243,107.2192469
2022,24.90117141,112.6231969
2023,25.22608039,118.0271469
2024,25.55098937,123.4310969
2025,25.87589835,128.8350469
2026,26.20080733,134.2389969
2027,26.52571631,139.6429469
2028,26.85062529,145.0468969
2029,27.17553427,150.4508469
2030,27.50044325,155.8547969
2031,27.744264195,162.58886721
2032,27.98808514,169.32293752
2033,28.231906085,176.05700783
2034,28.47572703,182.79107814
2035,28.719547975,189.52514845
2036,28.96336892,196.25921876
2037,29.207189865,202.99328907
2038,29.45101081,209.72735938
2039,29.694831755,216.46142969
2040,29.9386527,223.1955
2041,30.14485558,230.00609063
2042,30.35105846,236.81668126
2043,30.55726134,243.62727189
2044,30.76346422,250.43786252
2045,30.9696671,257.24845315
2046,31.17586998,264.05904378
2047,31.38207286,270.86963441
2048,31.58827574,277.68022504
2049,31.79447862,284.49081567
2050,32.0006815,291.3014063
2051,32.19872811,297.8004063
2052,32.39677472,304.2994063
2053,32.59482133,310.7984063
2054,32.79286794,317.2974063
2055,32.99091455,323.7964063
2056,33.18896116,330.2954063
2057,33.38700777,336.7944063
2058,33.58505438,343.2934063
2059,33.78310099,349.7924063
2060,33.9811476,356.2914063
2061,34.172666125,362.59138442
2062,34.36418465,368.89136254
2063,34.555703175,375.19134066
2064,34.7472217,381.49131878
2065,34.938740225,387.7912969
2066,35.13025875,394.09127502
2067,35.321777275,400.39125314
2068,35.5132958,406.69123126
2069,35.704814325,412.99120938
2070,35.89633285,419.2911875
2071,36.085272485,424.9039875
2072,36.27421212,430.5167875
2073,36.463151755,436.1295875
2074,36.65209139,441.7423875
2075,36.841031025,447.3551875
2076,37.02997066,452.9679875
2077,37.218910295,458.5807875
2078,37.40784993,464.1935875
2079,37.596789565,469.8063875
2080,37.7857292,475.4191875
2081,38.01401545,480.36485
2082,38.2423017,485.3105125
2083,38.47058795,490.256175
2084,38.6988742,495.2018375
2085,38.92716045,500.1475
2086,39.1554467,505.0931625
2087,39.38373295,510.038825
2088,39.6120192,514.9844875
2089,39.84030545,519.93015
2090,40.0685917,524.8758125
2091,40.322480805,528.92719375
2092,40.57636991,532.978575
2093,40.830259015,537.02995625
2094,41.08414812,541.0813375
2095,41.338037225,545.13271875
2096,41.59192633,549.1841
2097,41.845815435,553.23548125
2098,42.09970454,557.2868625
2099,42.353593645,561.33824375
2100,42.60748275,565.389625
